2026-05-18 11:27:08,333 | src.services.queries | INFO | get_departamentos: 3 registros
2026-05-18 11:27:08,333 | src.services.queries | INFO | get_departamentos: 3 registros
2026-05-18 11:27:08,352 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:08,418 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:08,428 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: ninguno)
2026-05-18 11:27:08,498 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: ninguno)
2026-05-18 11:27:08,502 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 11:27:08,588 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 11:27:08,588 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 11:27:08,605 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:08,613 | src.services.metrics | INFO | generar_kpis_resumen: 4758 publicaciones, h_index=7.3
2026-05-18 11:27:08,618 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:08,666 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 11:27:08,683 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 11:27:08,684 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:08,695 | src.services.metrics | INFO | generar_kpis_resumen: 4758 publicaciones, h_index=7.3
2026-05-18 11:27:08,696 | src.services.queries | INFO | get_departamentos: 3 registros
2026-05-18 11:27:08,703 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:08,712 | src.services.queries | INFO | get_publicaciones: 242 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 3})
2026-05-18 11:27:08,723 | src.services.queries | INFO | get_publicaciones: 227 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 1})
2026-05-18 11:27:08,733 | src.services.queries | INFO | get_publicaciones: 228 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 2})
2026-05-18 11:27:08,737 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:08,744 | src.services.metrics | INFO | generar_kpis_resumen: 4758 publicaciones, h_index=7.3
2026-05-18 11:27:08,771 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:08,778 | src.services.queries | INFO | get_profesores: 18 registros (depto=3, solo_activos=False)
2026-05-18 11:27:08,781 | src.services.queries | INFO | get_publicaciones: 4758 registros (filtros: {'anio_min': 2014, 'anio_max': 2025})
2026-05-18 11:27:08,786 | src.services.queries | INFO | get_profesores: 18 registros (depto=1, solo_activos=False)
2026-05-18 11:27:08,789 | src.services.queries | INFO | get_departamentos: 3 registros
2026-05-18 11:27:08,791 | src.services.queries | INFO | get_profesores: 16 registros (depto=2, solo_activos=False)
2026-05-18 11:27:08,817 | src.services.queries | INFO | get_publicaciones: 242 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 3})
2026-05-18 11:27:08,844 | src.services.queries | INFO | get_publicaciones: 227 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 1})
2026-05-18 11:27:08,912 | src.services.queries | INFO | get_publicaciones: 228 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'depto_id': 2})
2026-05-18 11:27:08,988 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:09,026 | src.services.metrics | INFO | generar_kpis_resumen: 4758 publicaciones, h_index=7.3
2026-05-18 11:27:09,096 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:09,149 | src.services.queries | INFO | get_profesores: 18 registros (depto=3, solo_activos=False)
2026-05-18 11:27:09,204 | src.services.queries | INFO | get_profesores: 18 registros (depto=1, solo_activos=False)
2026-05-18 11:27:09,273 | src.services.queries | INFO | get_profesores: 16 registros (depto=2, solo_activos=False)
2026-05-18 11:27:09,538 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:09,641 | src.services.queries | INFO | get_publicaciones: 19 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 79})
2026-05-18 11:27:09,718 | src.services.queries | INFO | get_publicaciones: 6 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 55})
2026-05-18 11:27:09,774 | src.services.queries | INFO | get_publicaciones: 3 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 58})
2026-05-18 11:27:09,856 | src.services.queries | INFO | get_publicaciones: 28 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 89})
2026-05-18 11:27:09,954 | src.services.queries | INFO | get_publicaciones: 83 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 94})
2026-05-18 11:27:09,996 | src.services.queries | INFO | get_publicaciones: 6 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 54})
2026-05-18 11:27:10,030 | src.services.queries | INFO | get_publicaciones: 2 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 82})
2026-05-18 11:27:10,141 | src.services.queries | INFO | get_publicaciones: 2 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 53})
2026-05-18 11:27:10,173 | src.services.queries | INFO | get_profesores: 52 registros (depto=None, solo_activos=False)
2026-05-18 11:27:10,173 | src.services.queries | INFO | get_publicaciones: 27 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 73})
2026-05-18 11:27:10,180 | src.services.queries | INFO | get_publicaciones: 4 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 56})
2026-05-18 11:27:10,180 | src.services.queries | INFO | get_publicaciones: 19 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 79})
2026-05-18 11:27:10,191 | src.services.queries | INFO | get_publicaciones: 18 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 99})
2026-05-18 11:27:10,192 | src.services.queries | INFO | get_publicaciones: 6 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 55})
2026-05-18 11:27:10,199 | src.services.queries | INFO | get_publicaciones: 37 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 64})
2026-05-18 11:27:10,200 | src.services.queries | INFO | get_publicaciones: 3 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 58})
2026-05-18 11:27:10,207 | src.services.queries | INFO | get_publicaciones: 21 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 81})
2026-05-18 11:27:10,208 | src.services.queries | INFO | get_publicaciones: 28 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 89})
2026-05-18 11:27:10,215 | src.services.queries | INFO | get_publicaciones: 3 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 78})
2026-05-18 11:27:10,216 | src.services.queries | INFO | get_publicaciones: 83 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 94})
2026-05-18 11:27:10,224 | src.services.queries | INFO | get_publicaciones: 48 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 52})
2026-05-18 11:27:10,224 | src.services.queries | INFO | get_publicaciones: 6 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 54})
2026-05-18 11:27:10,231 | src.services.queries | INFO | get_publicaciones: 0 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 102})
2026-05-18 11:27:10,231 | src.services.queries | INFO | get_publicaciones: 2 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 82})
2026-05-18 11:27:10,238 | src.services.queries | INFO | get_publicaciones: 12 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 62})
2026-05-18 11:27:10,238 | src.services.queries | INFO | get_publicaciones: 2 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 53})
2026-05-18 11:27:10,246 | src.services.queries | INFO | get_publicaciones: 4 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 71})
2026-05-18 11:27:10,246 | src.services.queries | INFO | get_publicaciones: 27 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 73})
2026-05-18 11:27:10,254 | src.services.queries | INFO | get_publicaciones: 1 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 69})
2026-05-18 11:27:10,254 | src.services.queries | INFO | get_publicaciones: 4 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 56})
2026-05-18 11:27:10,264 | src.services.queries | INFO | get_publicaciones: 4 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 67})
2026-05-18 11:27:10,264 | src.services.queries | INFO | get_publicaciones: 18 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 99})
2026-05-18 11:27:10,271 | src.services.queries | INFO | get_publicaciones: 32 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 97})
2026-05-18 11:27:10,272 | src.services.queries | INFO | get_publicaciones: 37 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 64})
2026-05-18 11:27:10,280 | src.services.queries | INFO | get_publicaciones: 11 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 80})
2026-05-18 11:27:10,280 | src.services.queries | INFO | get_publicaciones: 21 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 81})
2026-05-18 11:27:10,291 | src.services.queries | INFO | get_publicaciones: 3 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 78})
2026-05-18 11:27:10,291 | src.services.queries | INFO | get_publicaciones: 24 registros (filtros: {'anio_min': 2014, 'anio_max': 2025, 'prof_id': 103})
